fecha,cetes_28
2021-09-13,4.6
2021-09-21,4.58
2021-09-28,4.69
2021-10-05,4.81
2021-10-12,4.79
2021-10-19,4.83
2021-10-26,4.93
2021-11-01,5.0
2021-11-09,5.14
2021-11-16,5.0
2021-11-23,5.05
2021-11-30,5.1
2021-12-07,5.2
2021-12-14,5.2
2021-12-21,5.45
2021-12-28,5.49
2022-01-04,5.51
2022-01-11,5.52
2022-01-18,5.57
2022-01-25,5.5
2022-02-01,5.84
2022-02-08,5.75
2022-02-15,5.95
2022-02-22,5.94
2022-03-01,6.06
2022-03-08,6.15
2022-03-15,6.33
2022-03-22,6.49
2022-03-29,6.52
2022-04-05,6.52
2022-04-11,6.52
2022-04-19,6.5
2022-04-26,6.68
2022-05-03,6.85
2022-05-10,6.97
2022-05-17,6.93
2022-05-24,6.9
2022-05-31,7.01
2022-06-07,7.32
2022-06-14,7.15
2022-06-21,7.5
2022-06-28,7.56
2022-07-05,7.7
2022-07-12,7.55
2022-07-19,7.74
2022-07-26,8.05
2022-08-02,8.01
2022-08-09,8.3
2022-08-16,8.35
2022-08-23,8.35
2022-08-30,8.35
2022-09-06,8.55
2022-09-13,8.75
2022-09-20,8.61
2022-09-27,9.25
2022-10-04,9.0
2022-10-11,8.9
2022-10-18,8.8
2022-10-25,9.0
2022-10-31,9.4
2022-11-08,9.19
2022-11-15,9.37
2022-11-22,9.7
2022-11-29,9.68
2022-12-06,10.0
2022-12-13,9.8
2022-12-20,10.2
2022-12-27,10.1
2023-01-03,10.49
2023-01-10,10.46
2023-01-17,10.7
2023-01-24,10.8
2023-01-31,10.78
2023-02-07,10.82
2023-02-14,11.05
2023-02-21,11.04
2023-02-28,11.05
2023-03-07,11.19
2023-03-14,11.3
2023-03-21,11.28
2023-03-28,11.34
2023-04-03,11.28
2023-04-11,11.3
2023-04-18,11.3
2023-04-25,11.27
2023-05-02,11.4
2023-05-09,11.39
2023-05-16,11.25
2023-05-23,11.25
2023-05-30,11.2
2023-06-06,11.32
2023-06-13,11.15
2023-06-20,11.09
2023-06-27,11.02
2023-07-04,11.3
2023-07-11,11.29
2023-07-18,11.18
2023-07-25,11.09
2023-08-01,11.28
2023-08-08,11.25
2023-08-15,11.26
2023-08-22,10.96
2023-08-29,11.07
2023-09-05,11.0
2023-09-12,11.25
2023-09-19,11.0
2023-09-26,11.05
2023-10-03,11.05
2023-10-10,11.05
2023-10-17,10.95
2023-10-24,11.26
2023-10-30,11.09
2023-11-07,10.95
2023-11-14,10.87
2023-11-21,10.75
2023-11-28,10.78
2023-12-05,11.25
2023-12-11,11.25
2023-12-19,11.09
2023-12-26,11.26
2024-01-02,11.3
2024-01-09,11.28
2024-01-16,11.3
2024-01-23,11.28
2024-01-30,11.15
2024-02-06,11.06
2024-02-13,11.05
2024-02-20,11.0
2024-02-27,11.0
2024-03-05,11.0
2024-03-12,11.18
2024-03-19,10.99
2024-03-25,10.9
2024-04-02,10.88
2024-04-09,10.92
2024-04-16,11.04
2024-04-23,11.04
2024-04-29,10.95
2024-05-07,11.03
2024-05-14,10.95
2024-05-21,11.0
2024-05-28,11.03
2024-06-04,11.04
2024-06-11,11.0
2024-06-18,10.95
2024-06-25,10.88
2024-07-02,11.02
2024-07-09,10.9
2024-07-16,10.89
2024-07-23,10.87
2024-07-30,10.97
2024-08-06,10.86
2024-08-13,10.65
2024-08-20,10.65
2024-08-27,10.65
2024-09-03,10.51
2024-09-10,10.49
2024-09-17,10.4
2024-09-24,10.35
2024-09-30,10.3
2024-10-08,10.3
2024-10-15,10.21
2024-10-22,10.2
2024-10-29,10.2
2024-11-05,10.1
2024-11-12,10.1
2024-11-19,10.05
2024-11-26,9.95
2024-12-03,9.9
2024-12-09,9.95
2024-12-17,9.8
2024-12-23,9.74
2024-12-30,10.04
2025-01-07,9.88
2025-01-14,9.78
2025-01-21,9.75
2025-01-28,9.87
2025-02-04,9.65
2025-02-11,9.35
2025-02-18,9.37
2025-02-25,9.44
2025-03-04,9.15
2025-03-11,9.14
2025-03-18,9.1
2025-03-25,9.02
2025-04-01,8.8
2025-04-08,8.8
2025-04-14,9.0
2025-04-22,8.8
2025-04-28,8.65
2025-05-06,8.55
2025-05-13,8.4
2025-05-20,8.15
2025-05-27,8.12
2025-06-03,8.1
2025-06-10,8.1
2025-06-17,8.14
2025-06-24,8.0
2025-07-01,7.7
2025-07-08,7.85
2025-07-15,7.65
2025-07-22,7.65
2025-07-29,7.48
2025-08-05,7.5
2025-08-12,7.38
2025-08-19,7.4
2025-08-26,7.27
2025-09-02,7.35
2025-09-09,7.35
2025-09-15,7.25
2025-09-23,7.2
2025-09-30,7.19
2025-10-07,7.47
2025-10-14,7.4
2025-10-21,7.1
2025-10-28,7.1
2025-11-04,7.3
2025-11-11,7.05
2025-11-18,7.25
2025-11-25,7.15
2025-12-02,7.29
2025-12-09,7.25
2025-12-16,7.15
2025-12-22,7.04
2025-12-29,7.07
2026-01-06,7.07
2026-01-13,6.99
2026-01-20,7.0
2026-01-27,6.95
2026-02-03,6.9
2026-02-10,6.88
2026-02-17,6.84
